Name,Artist,Album,Track Number
"The Little Drummer Boy","Kenny Burrell","Have Yourself a Soulful Little Christmas","1"
"Have Yourself A Merry Little Christmas","Kenny Burrell","Have Yourself a Soulful Little Christmas","2"
"My Favorite Things","Kenny Burrell","Have Yourself a Soulful Little Christmas","3"
"Away In A Manger","Kenny Burrell","Have Yourself a Soulful Little Christmas","4"
"Mary's Little Boy Chile","Kenny Burrell","Have Yourself a Soulful Little Christmas","5"
"White Christmas","Kenny Burrell","Have Yourself a Soulful Little Christmas","6"
"God Rest Ye, Merry Gentlemen","Kenny Burrell","Have Yourself a Soulful Little Christmas","7"
"The Christmas Song","Kenny Burrell","Have Yourself a Soulful Little Christmas","8"
"Children Go Where I Send Thee","Kenny Burrell","Have Yourself a Soulful Little Christmas","9"
"Silent Night","Kenny Burrell","Have Yourself a Soulful Little Christmas","10"
"Twelve Days Of Christmas","Kenny Burrell","Have Yourself a Soulful Little Christmas","11"
"Merry Christmas Baby","Kenny Burrell","Have Yourself a Soulful Little Christmas","12"
"Silent Night","Bing Crosby","White Christmas","1"
"Adeste Fideles","Bing Crosby","White Christmas","2"
"White Christmas","Bing Crosby","White Christmas","3"
"God Rest Ye Merry Gentlemen","Bing Crosby","White Christmas","4"
"Faith Of Our Fathers","Bing Crosby","White Christmas","5"
"I'll Be Home For Christmas","Bing Crosby","White Christmas","6"
"Jingle Bells","Bing Crosby","White Christmas","7"
"Santa Claus Is Comin' To Town","Bing Crosby","White Christmas","8"
"Silver Bells","Bing Crosby","White Christmas","9"
"It's Beginning To Look Like Christmas","Bing Crosby","White Christmas","10"
"Christmas In Killarney","Bing Crosby","White Christmas","11"
"Mele Kalikimaka (Merry Christmas)","Bing Crosby","White Christmas","12"
"White Christmas","Andy Williams","The Andy Williams Christmas Album","1"
"Happy Holiday / The Holiday Season","Andy Williams","The Andy Williams Christmas Album","2"
"The Christmas Song (Chestnuts Roasting On An Open Fire)","Andy Williams","The Andy Williams Christmas Album","3"
"It's the Most Wonderful Time of the Year","Andy Williams","The Andy Williams Christmas Album","4"
"A Song and a Christmas Tree (The Twelve Days of Christmas)","Andy Williams","The Andy Williams Christmas Album","5"
"Kay Thompson's Jingle Bells","Andy Williams","The Andy Williams Christmas Album","6"
"The First Noël","Andy Williams","The Andy Williams Christmas Album","7"
"O Holy Night","Andy Williams","The Andy Williams Christmas Album","8"
"Away in a Manger","Andy Williams","The Andy Williams Christmas Album","9"
"Sweet Little Jesus Boy","Andy Williams","The Andy Williams Christmas Album","10"
"The Little Drummer Boy","Andy Williams","The Andy Williams Christmas Album","11"
"Silent Night, Holy Night","Andy Williams","The Andy Williams Christmas Album","12"
"Here","Aaron Strumpel","Christmas!","1"
"Away in a Manger","Aaron Strumpel","Christmas!","2"
"Come to You","Aaron Strumpel","Christmas!","3"
"God Rest Ye Merry Gentlemen","Aaron Strumpel","Christmas!","4"
"Angels We Have Heard On High","Aaron Strumpel","Christmas!","5"
"Auld Lang Syne","Aaron Strumpel","Christmas!","6"
"Dove","Aaron Strumpel","Christmas!","7"
"Jingle Bells","Aaron Strumpel","Christmas!","8"
"Joy to the World","Aaron Strumpel","Christmas!","9"
"Silent Night (Feat. Karla Adolphe)","Aaron Strumpel","Christmas!","10"
"Away in a Manger","Bright Eyes","A Christmas Album","1"
"Blue Christmas","Bright Eyes","A Christmas Album","2"
"Oh Little Town of Bethlehem","Bright Eyes","A Christmas Album","3"
"God Rest Ye Merry Gentlemen","Bright Eyes","A Christmas Album","4"
"The First Noel","Bright Eyes","A Christmas Album","5"
"Little Drummer Boy","Bright Eyes","A Christmas Album","6"
"White Christmas","Bright Eyes","A Christmas Album","7"
"Silent Night","Bright Eyes","A Christmas Album","8"
"Silver Bells","Bright Eyes","A Christmas Album","9"
"Have Yourself a Merry Little Christmas","Bright Eyes","A Christmas Album","10"
"The Night Before Christmas","Bright Eyes","A Christmas Album","11"
"O Tannenbaum","Vince Guaraldi Trio","A Charlie Brown Christmas (Remastered & Expanded Edition)","1"
"What Child Is This","Vince Guaraldi Trio","A Charlie Brown Christmas (Remastered & Expanded Edition)","2"
