Artist,Album
Django Reinhardt,The Ultimate Collection
Duke Ellington & His Orchestra,Mood Indigo
Horace Parlan,In Copenhagen
Modest Mussorgsky,Pictures at an Exhibition
Frdric Chopin,Rachmaninoff: Variations On A Theme Of Chopin Beethoven: Thirty Three Variations On A Waltz By Diabelli
Lightning Hopkins,Houston Gold
Blind Blake,The Very Best Of
Johann Sebastian Bach,Bach Cello Suites
Camille Saint-Sans,The Carnival of Animals
Blind Willie McTell,Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935
Crosby Stills Nash And Young,Deja Vu
Aretha Franklin,Soul Queen
Lil Kim,Hard Core
Joy Division,Unknown Pleasures [Collectors Edition]
Gram Parsons,Grievous Angel
Ray Charles,The Genius!
Sepultura,Roots [Special Edition]
James Taylor,Greatest Hits
Animal Collective,Merriweather Post Pavilion
Wovenhand,Ten Stones
Terry Reid,River
Love,Forever Changes
Nina Simone,Folksy Nina
Fleet Foxes,Fleet Foxes
Pedro The Lion,Achilles Heel [Remastered]
The Smiths,The Sound Of The Smiths [Deluxe Edition]
Bon Iver,For Emma Forever Ago
Brad Mehldau Trio,Anything Goes
Various Artists,The Tommy Boy Story Vol. 1 [Digital Version]
Otis Redding,Pure Southern Soul
Doug Sahm,The Genuine Texas Groover
Igor Stravinsky,Firebird
Songs: Ohia,The Lioness
The Flaming Lips,Yoshimi Battles The Pink Robots
The Black Keys,Thickfreakness
The Fiery Furnaces,Bitter Tea
Oh No,Dr. Nos Oxperiment
John Fahey,The Essential
Merle Haggard,Mama Tried/ Pride In What I Am
Alban Berg Quartett,Beethoven: String Quartet Op.13 & Grosse Fuge Op.133
Miles Davis,The Complete Birth Of The Cool
Art Blakey & The Jazz Messengers,A Night in Tunisia (The Rudy Van Gelder Edition)
Bobby Womack,The Best Of Bobby Womack - The Soul Years
The Afghan Whigs,Gentlemen
Gerald Moore,Schubert : Winterreise
The Knife,We Share Our Mothers Health
The Knife,Deep Cuts
Red Steagall,Born To This Land
Iron & Wine,Our Endless Numbered Days
Talking Heads,Talking Heads 77
Toumani Diabate,The Mande Variations
Jose Van Dam,Enesco: Oedipe
The Thrills,Lets Bottle Bohemia
My Bloody Valentine,Loveless
Sidney Bechet,The Fabulous Sidney Bechet
Chet Baker,Lets Get Lost: The Best Of Chet Baker Sings
N.W.A,Straight Outta Compton (2002 - Remaster)
Massive Attack,No Protection
Electric Wizard,Dopethrone
