Date Played,Artist,Title,Album
2015-12-05T19:25:51,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,The Very Best Of Curtis Mayfield
2015-12-05T19:23:58,Rihanna,Man Down,Loud
2015-12-05T19:16:07,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,The Very Best Of Curtis Mayfield
2015-12-05T19:10:26,The Isley Brothers,Between the Sheets,Love Songs
2015-11-29T01:51:03,Ellie Goulding,Aftertaste,Delirium (Deluxe)
2015-11-29T01:49:07,Ellie Goulding,Intro (Delirium),Delirium (Deluxe)
2015-11-29T01:47:23,One Direction,Infinity,Made In The A.M. (Deluxe Edition)
2015-11-29T01:29:02,One Direction,Infinity,Made In The A.M. (Deluxe Edition)
2015-11-29T01:25:12,One Direction,Perfect,Made In The A.M. (Deluxe Edition)
2015-11-29T01:21:59,One Direction,Drag Me Down,Made In The A.M. (Deluxe Edition)
2015-11-29T01:17:58,One Direction,Hey Angel,Made In The A.M. (Deluxe Edition)
2015-11-29T01:16:34,Justin Bieber,Company,Purpose (Deluxe)
2015-11-29T01:12:41,Justin Bieber,Love Yourself,Purpose (Deluxe)
2015-11-29T01:09:20,Justin Bieber,Sorry,Purpose (Deluxe)
2015-11-29T01:05:50,Justin Bieber,What Do You Mean?,Purpose (Deluxe)
2015-11-28T22:14:25,Justin Bieber,What Do You Mean?,Purpose (Deluxe)
2015-11-28T22:11:05,Justin Bieber,I'll Show You,Purpose (Deluxe)
2015-11-28T22:08:49,Justin Bieber,Mark My Words,Purpose (Deluxe)
2015-11-28T22:08:34,Vijay Iyer Trio,Bode,Accelerando
2015-11-28T22:05:30,Vijay Iyer Trio,Wildflower,Accelerando
2015-11-28T21:55:51,Vijay Iyer Trio,Human Nature (Trio Extension),Accelerando
2015-11-28T21:54:23,Kitty Wells,One By One,20th Century Masters: The Millennium Collection: Best of Kitty Wells
2015-11-28T21:51:35,Kitty Wells,Release Me (1954 Single Version),20th Century Masters: The Millennium Collection: Best of Kitty Wells
2015-11-28T21:49:05,Kitty Wells,It Wasn't God Who Made Honky Tonk Angels,20th Century Masters: The Millennium Collection: Best of Kitty Wells
2015-11-28T21:48:05,Frank Sinatra,I've Got The World On A String (2000 Digital Remaster),Classic Sinatra - His Great Performances 1953-1960
2015-11-28T07:26:50,The Isley Brothers,Between the Sheets,Love Songs
2015-11-28T07:23:47,Al Green,Call Me (Come Back Home),The Love Songs Collection
2015-11-28T07:18:20,Marvin Gaye,Inner City Blues (Make Me Wanna Holler),The Very Best Of Marvin Gaye
2015-11-28T07:13:34,The Chi-Lites,Have You Seen Her,Have You Seen Her
2015-11-28T07:11:13,Al Green,Back Up Train (Digitally Remastered),Back Up Train
2015-11-28T07:08:31,Stevie Wonder,Have A Talk With God,Songs In The Key Of Life
2015-11-28T07:05:28,Etta James,At Last,At Last!
2015-11-28T07:02:12,Al Green,Stay With Me Forever,Explores Your Mind
2015-11-28T06:59:29,Aretha Franklin,Chain Of Fools,Soul Queen
2015-11-28T06:56:15,Marvin Gaye,I Heard It Through The Grapevine (Single Version (Mono)),Anthology
2015-11-28T06:52:50,Al Green,Let's Get Married,Greatest Hits
2015-11-28T06:49:43,Al Green,Look What You Done for Me,Greatest Hits
2015-11-28T06:46:23,Al Green,You Ought to Be With Me,Greatest Hits
2015-11-28T06:42:28,Al Green,I Can't Get Next to You,Greatest Hits
2015-11-28T06:39:09,Al Green,Let's Stay Together,Greatest Hits
2015-11-28T06:34:06,Al Green,Love and Happiness,Greatest Hits
2015-11-28T06:30:59,*NSYNC,Just Got Paid,No Strings Attached
2015-11-28T06:26:37,*NSYNC,Space Cowboy (Yippie-Yi-Yay),No Strings Attached
2015-11-28T06:23:24,*NSYNC,It's Gonna Be Me,No Strings Attached
2015-11-28T06:20:03,*NSYNC,Bye Bye Bye,No Strings Attached
2015-11-28T06:17:22,Justin Timberlake,Nothin' Else,Justified
2015-11-28T06:12:54,Justin Timberlake,Rock Your Body,Justified
2015-11-28T06:08:05,Justin Timberlake,Cry Me a River,Justified
2015-11-28T06:06:52,Justin Timberlake,Medley: Sexy Ladies / Let Me Talk to You (Prelude) (Clean),FutureSex/LoveSounds
2015-11-28T06:02:48,Justin Timberlake,SexyBack,FutureSex/LoveSounds
2015-11-28T06:01:27,The Black Eyed Peas,Rock That Body,THE E.N.D. (THE ENERGY NEVER DIES)
2015-11-28T05:57:15,The Black Eyed Peas,Boom Boom Pow,THE E.N.D. (THE ENERGY NEVER DIES)
