Name,Artist,Album,Track Number
Of all the birds that I do know (1989 Digital Remaster),The King's Singers,Madrigal History Tour,10
Margot labourez les vignes,The King's Singers,Madrigal History Tour,20
ANTIPHON: O rubor sanguinis,Anonymous 4,"Hildegard von Bingen: 11,000 Virgins - Chants for the Feast of St. Ursula",15
Allegri: Miserere (Allegri's Miserere),The Tallis Scholars,Allegri's Miserere & Palestrina's Missa Papae Marcelli,1
Palestrina: Missa Papae Marcelli: Kyrie,The Tallis Scholars,Allegri's Miserere & Palestrina's Missa Papae Marcelli,3
Palestrina: Missa Papae Marcelli: Gloria,The Tallis Scholars,Allegri's Miserere & Palestrina's Missa Papae Marcelli,4
Palestrina: Missa Papae Marcelli: Credo,The Tallis Scholars,Allegri's Miserere & Palestrina's Missa Papae Marcelli,5
Palestrina: Missa Papae Marcelli: Sanctus & Benedictus,The Tallis Scholars,Allegri's Miserere & Palestrina's Missa Papae Marcelli,6
Palestrina: Missa Papae Marcelli: Agnus Dei,The Tallis Scholars,Allegri's Miserere & Palestrina's Missa Papae Marcelli,7
"Misere, Opus 44",John Nelson/ Lucy Ding/Chicago Symphony Chorus,Henryk Górecki: Miserere,1
The Holly and the Ivy,Anonymous 4,Wolcum Yule,8
Randall Thompson: Alleluia,MIKROKOSMOS,O Adonaï: Sacred A Cappella Choir Music from the 20th Century,1
"Fugue in C major, BWV 953",Johann Sebastian Bach,"Bach: Petits Préludes, Fantaisies & Fugues",41
Prelude No. 1 in C,Sviatoslav Richter,Bach - Preludes & Fugues,1
"Fugue in G minor, BWV 578",Johann Sebastian Bach,"Bach, J.S.: Organ Music - Preludes and Fugues / Toccata and Fugue in D Minor / Chorale Preludes",10
Prelude and Fugue n 1,Nuremberg Symphony Orchestra,Preludes & Fugues from Johann Sebastian Bach,1
"No. 1. Prelude and Fugue in C major, BWV 553",Johann Sebastian Bach,"Bach, J.S.: Organ Music - Bwv 553-560, 570, 711, 715, 716, 744",1
Tallis: Lamentations of Jeremiah I,The Tallis Scholars,Thomas Tallis: Lamentations of Jeremiah,1
"Adieu, sweet amaryllis",Pro Cantione Antiqua,"Various: English Madrigals, Sing We At Pleasure",9
Passacaglia in C Minor,Chicago Trombone Consort,Chicago Trombone Consort,15
La Passion selon Saint mathieu: Aria « Erbarme dich » BWV 244,Ensemble Contraste,Johann Sebastian Bach: Transcriptions,8
