Name,Artist,Album,Track Number
Midnight Rider,The Allman Brothers Band,Stand Back: The Anthology,7
Shambala,Three Dog Night,Three Dog Night - The Complete Hit Singles,16
Brave Awakening,Terry Reid,The Devil's Rejects,3
It Wasn't God Who Made Honky Tonk Angels,Kitty Wells,20th Century Masters: The Millennium Collection: Best of Kitty Wells,1
Satan's Got To Get Along Without Me,Buck Owens & His Buckaroos,The Devil's Rejects,5
Fooled Around And Fell In Love,Elvin Bishop,20th Century Masters: The Millennium Collection: Best Of Elvin Bishop,7
I Can't Quit You Baby,Otis Rush,The Essential Otis Rush,1
Rock On,David Essex,Rock On,5
Rocky Mountain Way,Joe Walsh,Joe Walsh's Greatest Hits: Little Did He Know...,9
To Be Treated,Terry Reid,The Devil's Rejects,11
Free Bird,Lynyrd Skynyrd,The Essential Lynyrd Skynyrd,13
Seed Of Memory,Terry Reid,The Devil's Rejects,13
I'm At Home Getting Hammered (While She's Out Getting Nailed) (The Devil's Rejects/Soundtrack Version/Edited),Banjo & Sullivan,The Devil's Rejects,14
