Name,Artist,Album,Track Number
Sweet Thang,Shuggie Otis,Freedom Flight,3
Freedom Flight,Shuggie Otis,Freedom Flight,7
Ice Cold Daydream (Album Version),Shuggie Otis,Freedom Flight,1
Strawberry Letter 23,Shuggie Otis,Freedom Flight,2
Me And My Woman,Shuggie Otis,Freedom Flight,4
Someone's Always Singing,Shuggie Otis,Freedom Flight,5
Purple,Shuggie Otis,Freedom Flight,6
One Room Country Shack (Album Version),Shuggie Otis,Freedom Flight,8
Vinum Sabbathi,Electric Wizard,Dopethrone,1
Mind Transferal,Electric Wizard,Dopethrone,9
Dopethrone,Electric Wizard,Dopethrone,8
We Hate You,Electric Wizard,Dopethrone,7
The Hills Have Eyes,Electric Wizard,Dopethrone,6
"I, the Witchfinder",Electric Wizard,Dopethrone,5
Barbarian,Electric Wizard,Dopethrone,4
Weird Tales / Electric Frost / Golgotha / Altar of Melektaus,Electric Wizard,Dopethrone,3
Funeralopolis,Electric Wizard,Dopethrone,2
Hush Little Baby,Nina Simone,Folksy Nina,9
Lass Of The Low Country,Nina Simone,Folksy Nina,4
You Can Sing A Rainbow,Nina Simone,Folksy Nina,8
Vanetihu,Nina Simone,Folksy Nina,7
The Twelfth Of Never,Nina Simone,Folksy Nina,6
The Young Knight,Nina Simone,Folksy Nina,5
Silver City Bound,Nina Simone,Folksy Nina,1
When I Was A Young Girl,Nina Simone,Folksy Nina,2
Erets Zavat Chalav,Nina Simone,Folksy Nina,3
Disco Boy,Frank Zappa,Understanding America,17
200 Years Old,Frank Zappa,Understanding America,18
I'm The Slime,Frank Zappa,Understanding America,19
I Don't Even Care,Frank Zappa,Understanding America,21
Concentration Moon,Frank Zappa,Understanding America,8
Dinah-Moe Humm,Frank Zappa,Understanding America,16
Find Her Finer,Frank Zappa,Understanding America,15
Trouble Every Day,Frank Zappa,Understanding America,9
Brown Shoes Don't Make It,Frank Zappa,Understanding America,7
We're Turning Again,Frank Zappa,Understanding America,11
Road Ladies,Frank Zappa,Understanding America,12
What Kind Of Girl Do You Think We Are?,Frank Zappa,Understanding America,13
Who Are The Brain Police?,Frank Zappa,Understanding America,5
It Can't Happen Here,Frank Zappa,Understanding America,4
Mom & Dad,Frank Zappa,Understanding America,3
Plastic People,Frank Zappa,Understanding America,2
"Hungry Freaks, Daddy",Frank Zappa,Understanding America,1
Who Needs The Peace Corps?,Frank Zappa,Understanding America,6
You're Probably Wondering Why I'm Here,Frank Zappa,Understanding America,10
Camarillo Brillo,Frank Zappa,Understanding America,14
Be In My Video,Frank Zappa,Understanding America,20
Tinseltown Rebellion,Frank Zappa,Understanding America,30
Porn Wars Deluxe,Frank Zappa,Understanding America,29
Jesus Thinks You're A Jerk,Frank Zappa,Understanding America,31
The Central Scrutinizer,Frank Zappa,Understanding America,28
Thing-Fish Intro,Frank Zappa,Understanding America,27
Promiscuous,Frank Zappa,Understanding America,26
Dumb All Over,Frank Zappa,Understanding America,25
Cocaine Decisions,Frank Zappa,Understanding America,24
Heavenly Bank Account,Frank Zappa,Understanding America,23
Can't Afford No Shoes,Frank Zappa,Understanding America,22
Human Nature (Trio Extension),Vijay Iyer Trio,Accelerando,4
The Village of the Virgins,Vijay Iyer Trio,Accelerando,11
Bode,Vijay Iyer Trio,Accelerando,1
Actions Speak,Vijay Iyer Trio,Accelerando,10
Accelerando,Vijay Iyer Trio,Accelerando,9
Lude,Vijay Iyer Trio,Accelerando,8
Optimism,Vijay Iyer Trio,Accelerando,2
Wildflower,Vijay Iyer Trio,Accelerando,5
Mmmhmm,Vijay Iyer Trio,Accelerando,6
Litle Pocket Size Demons,Vijay Iyer Trio,Accelerando,7
The Star of a Story,Vijay Iyer Trio,Accelerando,3
Things To Try,Terry Reid,River,3
Dream,Terry Reid,River,6
River,Terry Reid,River,5
Live Life,Terry Reid,River,4
Milestones,Terry Reid,River,7
Avenue,Terry Reid,River,2
Dean,Terry Reid,River,1
Whistle and I'll Come to You,Rain Dog,Two Words,12
Like a Lame Man Stepping,Rain Dog,Two Words,4
Watch Over,Rain Dog,Two Words,10
Felicity,Rain Dog,Two Words,1
Fool's Game,Rain Dog,Two Words,9
Broken,Rain Dog,Two Words,3
The World Is My Shotgun,Rain Dog,Two Words,11
Nexus,Rain Dog,Two Words,7
Cloven,Rain Dog,Two Words,2
Nerves Like New Thread,Rain Dog,Two Words,6
Regolith,Rain Dog,Two Words,5
Once,Rain Dog,Two Words,8
You Can't Always Get What You Want,The Rolling Stones,Let It Bleed,9
Monkey Man,The Rolling Stones,Let It Bleed,8
Country Honk,The Rolling Stones,Let It Bleed,3
Midnight Rambler,The Rolling Stones,Let It Bleed,6
Gimme Shelter,The Rolling Stones,Let It Bleed,1
Love In Vain,The Rolling Stones,Let It Bleed,2
Let It Bleed,The Rolling Stones,Let It Bleed,5
Live With Me,The Rolling Stones,Let It Bleed,4
You Got The Silver,The Rolling Stones,Let It Bleed,7
Goldfish,Roy Harper,The Best of Roy Harper,12
Legend,Roy Harper,The Best of Roy Harper,13
My Friend,Roy Harper,The Best of Roy Harper,11
China Girl,Roy Harper,The Best of Roy Harper,10
Hup Hup Spiral,Roy Harper,The Best of Roy Harper,2
Blackpool,Roy Harper,The Best of Roy Harper,1
Sophisticated Beggar,Roy Harper,The Best of Roy Harper,3
Black Clouds,Roy Harper,The Best of Roy Harper,4
October 12th,Roy Harper,The Best of Roy Harper,5
Forever,Roy Harper,The Best of Roy Harper,14
Girlie,Roy Harper,The Best of Roy Harper,6
Big Fat Silver Aeroplane,Roy Harper,The Best of Roy Harper,9
Committed (Live),Roy Harper,The Best of Roy Harper,7
Mr. Station Master,Roy Harper,The Best of Roy Harper,8
Anna,Charles Spearin,The Happiness Project,2
Vanessa,Charles Spearin,The Happiness Project,4
Marisa,Charles Spearin,The Happiness Project,5
Ondine,Charles Spearin,The Happiness Project,6
Mr. Gowrie,Charles Spearin,The Happiness Project,7
Mrs. Morris (Reprise),Charles Spearin,The Happiness Project,8
Vittoria,Charles Spearin,The Happiness Project,3
Mrs. Morris,Charles Spearin,The Happiness Project,1
Back Door Santa,Clarence Carter,Soul Christmas,1
All I Want For Christmas Is You,Carla Thomas,Soul Christmas,11
What Are You Doing New Year's Eve?,King Curtis,Soul Christmas,10
Every Day Will Be Like A Holiday,William Bell,Soul Christmas,9
Jingle Bells,Booker T. & The MG's,Soul Christmas,8
Presents For Christmas,Solomon Burke,Soul Christmas,7
Merry Christmas Baby,Otis Redding,Soul Christmas,6
"Gee Whiz, It's Christmas",Carla Thomas,Soul Christmas,5
Silver Bells,Booker T. & The MG's,Soul Christmas,4
White Christmas,Otis Redding,Soul Christmas,3
The Christmas Song,King Curtis,Soul Christmas,2
Santa Claus Is Coming To Town,Booker T. & The MG's,Soul Christmas,12
This Christmas,Donny Hathaway,Soul Christmas,13
May Christmas Bring You Happiness (1991 Remix),Luther Vandross,Soul Christmas,14
The Girl From Ipanema,"Stan Getz, João Gilberto",Getz/Gilberto,1
On Sight,Kanye West,Yeezus,1
Black Skinhead,Kanye West,Yeezus,2
Bound 2,Kanye West,Yeezus,10
I Am A God,Kanye West,Yeezus,3
Send It Up,Kanye West,Yeezus,9
Hold My Liquor,Kanye West,Yeezus,5
I'm In It,Kanye West,Yeezus,6
New Slaves,Kanye West,Yeezus,4
Blood On The Leaves,Kanye West,Yeezus,7
Guilt Trip,Kanye West,Yeezus,8
Trainwreck,Mastodon,Remission,7
Burning Man,Mastodon,Remission,6
Crusher Destroyer,Mastodon,Remission,1
March of the Fire Ants,Mastodon,Remission,2
Trampled Under Hoof,Mastodon,Remission,8
Where Strides the Behemoth,Mastodon,Remission,3
Workhorse,Mastodon,Remission,4
Ol'e Nessie,Mastodon,Remission,5
Elephant Man,Mastodon,Remission,11
Mother Puncher,Mastodon,Remission,10
Trilobite,Mastodon,Remission,9
Under Ground Kings,Drake,Take Care (Deluxe Version),8
The Ride,Drake,Take Care (Deluxe Version),18
Practice,Drake,Take Care (Deluxe Version),17
HYFR (Hell Ya Fucking Right),Drake,Take Care (Deluxe Version),16
Look What You've Done,Drake,Take Care (Deluxe Version),15
The Real Her,Drake,Take Care (Deluxe Version),14
Shot For Me,Drake,Take Care (Deluxe Version),2
Headlines,Drake,Take Care (Deluxe Version),3
Crew Love,Drake,Take Care (Deluxe Version),4
Take Care,Drake,Take Care (Deluxe Version),5
Marvins Room,Drake,Take Care (Deluxe Version),6
Buried Alive Interlude,Drake,Take Care (Deluxe Version),7
We'll Be Fine,Drake,Take Care (Deluxe Version),9
Make Me Proud,Drake,Take Care (Deluxe Version),10
Lord Knows,Drake,Take Care (Deluxe Version),11
Cameras / Good Ones Go Interlude,Drake,Take Care (Deluxe Version),12
Doing It Wrong,Drake,Take Care (Deluxe Version),13
