Name,Artist,Album,Track Number
Welcome,John Coltrane,Kulu Se Mama (Originals Version),3
Our Prayer,Albert Ayler,The Albert Ayler Story,55
Black Woman,Sonny Sharrock,Black Woman,1
Bialero,Sonny Sharrock,Black Woman,3
Blind Willie,Sonny Sharrock,Black Woman,4
"Portrait Of Linda In Three Colors, All Black",Sonny Sharrock,Black Woman,5
Kundalina - Serpent Power,Tony Scott,Music For Yoga Meditation And Other Joys,6
Journey In Satchidananda,Alice Coltrane,Journey in Satchidananda,1
Shiva-Loka,Alice Coltrane,Journey in Satchidananda,2
Stopover Bombay,Alice Coltrane,Journey in Satchidananda,3
Something About John Coltrane,Alice Coltrane,Journey in Satchidananda,4
Isis And Osiris (Live),Alice Coltrane,Journey in Satchidananda,5
Malkauns,Don Cherry,Brown Rice,2
Pyramids - Original,Sun Ra,The Solar-Myth Approach Vol. 1 & 2 CD2,4
The Dogon,Phil Cohran and Legacy,African Skies,4
Astral Traveling,Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,1
Let Us Go Into The House Of The Lord,Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,2
Rejuvenation,Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,3
I Mani (Faith),Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,4
In Search Of Truth,Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,5
Aspirations,Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,6
Astral Traveling (Alternative Version),Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,7
Rejuvenation (Alternative Version),Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,8
I Mani (Faith) (Alternative Version),Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,9
In Search Of Truth (Alternative Version),Lonnie Liston Smith and the Cosmic Echoes,Astral Traveling,10
The Blessing Song,Michael White,Pneuma,8
His Blessings (Digitally Remastered),McCoy Tyner,Extensions,4
"Summun, Bukmun, Umyun",Pharoah Sanders,"Summun, Bukmun, Umyun",1
We Shall Overcome,Charlie Haden,Liberation Music Orchestra,9
